CD_GEOCODMU;LONG;LAT
2201988;-42,83030181;-8,207064766
2202000;-41,86990885;-3,172721335
2202026;-41,10185139;-5,312066783
2202059;-42,30831607;-4,471331294
2202075;-42,39672729;-6,794184118
2202083;-41,34715036;-2,929227172
2202091;-40,63741891;-7,331559652
2202109;-41,88074529;-7,654778128
2202117;-41,83201332;-8,374480381
2202133;-41,03120096;-7,13599312
2202174;-42,62604104;-3,807868939
2202208;-42,1667446;-4,829113927
2202251;-43,71942803;-7,69462156
2202307;-42,94402102;-8,10823192
2202406;-41,94352197;-4,458559268
2202455;-41,81611631;-8,496837868
2202505;-43,33420045;-9,276765267
2202539;-41,84120813;-3,478590538
2202554;-40,99033455;-7,728652388
2202604;-41,54731624;-5,321543871
2202653;-41,88268376;-3,426938403
2202703;-41,55684483;-3,47045349
2202711;-41,97904787;-4,553815724
2202729;-41,45541891;-3,606072591
2202737;-42,20731591;-5,091308351
2202752;-43,79601716;-8,187574216
2202778;-42,17711851;-7,223657564
2202802;-41,59663394;-7,882704154
2202851;-42,4703571;-8,816369411
2202901;-45,16331252;-10,44093604
2203008;-45,1860307;-10,64780375
2203107;-44,22441475;-8,820186289
2203206;-44,30072223;-10,03129243
2203230;-44,40300215;-9,012433839
2203255;-42,83221052;-5,620453229
2203271;-40,90106947;-7,830797188
2203305;-42,67422861;-5,358465466
2203354;-42,43956996;-9,335200044
2203404;-41,65238521;-6,957901843
2203420;-41,27188145;-4,253433634
2203453;-41,97685112;-9,008074943
2203503;-42,13814445;-6,201719461
2203602;-43,66481113;-8,09646229
2203701;-42,23536453;-3,895604531
2203750;-42,7944014;-9,478606286
2203800;-42,9243058;-7,791775602
2203859;-41,80031429;-7,466795375
2203909;-43,02064474;-6,769672434
2204006;-42,2633661;-6,395292623
2204105;-42,69112784;-6,623343532
2204154;-40,79556735;-7,327871041
2204204;-41,13615734;-6,994171138
2204303;-40,61723293;-7,088412533
2204352;-41,35757976;-7,158417626
2204402;-45,34691998;-9,834569906
2204501;-43,56692365;-6,785246909
2204550;-43,68772103;-9,395111304
2204600;-42,56256305;-5,987787891
2204659;-41,81977318;-2,854008607
2204709;-41,71019406;-6,667120341
2204808;-41,73991413;-6,826932678
2204907;-41,67944808;-7,734310697
2205003;-41,48002531;-7,451280813
2205102;-43,02549651;-7,608116633
2205151;-41,21076205;-7,936264488
2205201;-41,14647481;-7,353152327
2205250;-42,63395956;-6,096577595
2205276;-41,81982222;-4,773158944
2205300;-43,50274301;-7,084632194
2205359;-42,41784858;-8,489125722
2205409;-42,1876898;-3,513103548
